date,C1,C2,C3,C4,C5
2019-04-03,3.0,1.0,0.0,0.0,0.0
2019-04-06,1.0,1.0,2.0,0.0,0.0
2019-04-09,0.0,0.0,0.0,3.0,1.0
2019-04-12,0.0,3.0,1.0,0.0,0.0
2019-04-15,4.0,0.0,0.0,0.0,0.0
2019-04-18,0.0,0.0,0.0,4.0,0.0
2019-04-21,0.0,1.0,3.0,0.0,0.0
2019-04-24,0.0,0.0,0.0,0.0,4.0
2019-04-27,0.0,0.0,0.0,0.0,4.0
2019-04-30,0.0,0.0,4.0,0.0,0.0
2019-05-03,4.0,0.0,0.0,0.0,0.0
2019-05-06,2.0,0.0,2.0,0.0,0.0
2019-05-12,0.0,4.0,0.0,0.0,0.0
2019-05-15,0.0,0.0,0.0,0.0,4.0
2019-05-18,0.0,1.0,0.0,3.0,0.0
2019-05-24,0.0,4.0,0.0,0.0,0.0
2019-05-27,0.0,0.0,0.0,4.0,0.0
2019-05-30,0.0,0.0,3.0,0.0,1.0
2019-06-02,0.0,2.0,0.0,2.0,0.0
2019-06-11,0.0,0.0,0.0,4.0,0.0
2019-06-14,0.0,3.0,0.0,0.0,1.0
2019-06-17,0.0,3.0,0.0,1.0,0.0
2019-06-20,1.0,1.0,2.0,0.0,0.0
2019-06-23,0.0,3.0,0.0,1.0,0.0
2019-06-26,4.0,0.0,0.0,0.0,0.0
2019-06-29,0.0,1.0,2.0,1.0,0.0
2019-07-08,0.0,0.0,0.0,4.0,0.0
2019-07-11,0.0,0.0,0.0,4.0,0.0
2019-07-14,0.0,4.0,0.0,0.0,0.0
2019-07-17,0.0,1.0,0.0,3.0,0.0
2019-07-21,2.0,0.0,0.0,2.0,0.0
2019-07-23,2.0,0.0,2.0,0.0,0.0
2019-07-26,0.0,0.0,0.0,0.0,4.0
2019-07-29,0.0,0.0,0.0,4.0,0.0
2019-08-01,4.0,0.0,0.0,0.0,0.0
2019-08-04,0.0,4.0,0.0,0.0,0.0
2019-08-07,4.0,0.0,0.0,0.0,0.0
2019-08-10,0.0,4.0,0.0,0.0,0.0
2019-08-12,1.0,0.0,3.0,0.0,0.0
2019-08-16,0.0,0.0,0.0,4.0,0.0
2019-08-19,0.0,0.0,4.0,0.0,0.0
2019-08-22,0.0,1.0,0.0,0.0,3.0
2019-08-25,0.0,0.0,0.0,4.0,0.0
2019-08-28,0.0,0.0,0.0,4.0,0.0
2019-08-31,3.0,0.0,1.0,0.0,0.0
2019-09-03,0.0,0.0,4.0,0.0,0.0
2019-09-06,0.0,0.0,0.0,0.0,4.0
2019-09-09,0.0,0.0,0.0,0.0,4.0
2019-09-12,0.0,3.0,1.0,0.0,0.0
2019-09-15,1.0,0.0,0.0,3.0,0.0
2019-09-18,1.0,2.0,1.0,0.0,0.0
2019-09-21,4.0,0.0,0.0,0.0,0.0
2019-09-24,0.0,1.0,0.0,3.0,0.0
2019-09-27,0.0,0.0,2.0,0.0,2.0
2019-09-30,1.0,1.0,0.0,2.0,0.0
2019-10-03,0.0,0.0,2.0,0.0,2.0
2019-10-06,0.0,4.0,0.0,0.0,0.0
2019-10-09,0.0,3.0,0.0,1.0,0.0
2019-10-15,0.0,0.0,2.0,0.0,2.0
2019-10-18,4.0,0.0,0.0,0.0,0.0
2019-10-21,0.0,2.0,0.0,0.0,2.0
2019-10-24,0.0,1.0,3.0,0.0,0.0
2019-10-27,0.0,0.0,0.0,4.0,0.0
2019-10-30,1.0,1.0,0.0,0.0,2.0
2019-11-02,3.0,1.0,0.0,0.0,0.0
2019-11-05,4.0,0.0,0.0,0.0,0.0
2019-11-09,0.0,0.0,0.0,0.0,4.0
2019-11-11,0.0,0.0,0.0,0.0,4.0
2019-11-14,2.0,2.0,0.0,0.0,0.0
2019-11-17,0.0,2.0,0.0,2.0,0.0
2019-11-20,0.0,0.0,0.0,4.0,0.0
2019-11-23,0.0,0.0,4.0,0.0,0.0
2019-11-26,3.0,0.0,0.0,0.0,1.0
2019-11-30,4.0,0.0,0.0,0.0,0.0
2019-12-02,0.0,1.0,3.0,0.0,0.0
2019-12-05,1.0,0.0,3.0,0.0,0.0
2019-12-08,0.0,4.0,0.0,0.0,0.0
2019-12-11,1.0,0.0,0.0,3.0,0.0
2019-12-14,0.0,3.0,0.0,1.0,0.0
2019-12-17,0.0,4.0,0.0,0.0,0.0
2019-12-20,0.0,0.0,1.0,2.0,1.0
2019-12-23,0.0,3.0,0.0,0.0,1.0
2019-12-26,0.0,0.0,0.0,3.0,1.0
2020-01-10,1.0,2.0,0.0,1.0,0.0
2020-01-13,1.0,0.0,1.0,0.0,2.0
2020-01-19,0.0,0.0,0.0,4.0,0.0
2020-01-21,0.0,0.0,0.0,4.0,0.0
2020-01-22,0.0,0.0,0.0,4.0,0.0
2020-01-25,0.0,4.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,1.0,0.0,3.0
2020-01-31,0.0,2.0,1.0,0.0,1.0
2020-02-03,0.0,0.0,0.0,4.0,0.0
2020-02-06,0.0,0.0,0.0,4.0,0.0
2020-02-12,0.0,0.0,0.0,1.0,3.0
2020-02-15,0.0,4.0,0.0,0.0,0.0
2020-02-18,0.0,4.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,4.0,0.0,0.0
2020-02-27,0.0,3.0,1.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,4.0,0.0
2020-03-04,0.0,0.0,0.0,4.0,0.0
